domain,ip,hop,hop_ip,raw_line
google.com,142.251.38.110,1,*,1  * * *
google.com,142.251.38.110,2,*,2  * * *
google.com,142.251.38.110,3,*,3  * * *
google.com,142.251.38.110,4,*,4  * * *
google.com,142.251.38.110,5,*,5  * * *
github.com,4.225.11.194,1,*,1  * * *
github.com,4.225.11.194,2,*,2  * * *
github.com,4.225.11.194,3,*,3  * * *
github.com,4.225.11.194,4,*,4  * * *
github.com,4.225.11.194,5,*,5  * * *
vk.com,87.240.129.133,1,*,1  * * *
vk.com,87.240.129.133,2,*,2  * * *
vk.com,87.240.129.133,3,*,3  * * *
vk.com,87.240.129.133,4,*,4  * * *
vk.com,87.240.129.133,5,*,5  * * *
vk.com,87.240.132.67,1,*,1  * * *
vk.com,87.240.132.67,2,*,2  * * *
vk.com,87.240.132.67,3,*,3  * * *
vk.com,87.240.132.67,4,*,4  * * *
vk.com,87.240.132.67,5,*,5  * * *
vk.com,87.240.132.72,1,*,1  * * *
vk.com,87.240.132.72,2,*,2  * * *
vk.com,87.240.132.72,3,*,3  * * *
vk.com,87.240.132.72,4,*,4  * * *
vk.com,87.240.132.72,5,*,5  * * *
vk.com,87.240.132.78,1,*,1  * * *
vk.com,87.240.132.78,2,*,2  * * *
vk.com,87.240.132.78,3,*,3  * * *
vk.com,87.240.132.78,4,*,4  * * *
vk.com,87.240.132.78,5,*,5  * * *
vk.com,87.240.137.164,1,*,1  * * *
vk.com,87.240.137.164,2,*,2  * * *
vk.com,87.240.137.164,3,*,3  * * *
vk.com,87.240.137.164,4,*,4  * * *
vk.com,87.240.137.164,5,*,5  * * *
vk.com,93.186.225.194,1,*,1  * * *
vk.com,93.186.225.194,2,*,2  * * *
vk.com,93.186.225.194,3,*,3  * * *
vk.com,93.186.225.194,4,*,4  * * *
vk.com,93.186.225.194,5,*,5  * * *
ozon.ru,185.73.193.68,1,*,1  * * *
ozon.ru,185.73.193.68,2,*,2  * * *
ozon.ru,185.73.193.68,3,*,3  * * *
ozon.ru,185.73.193.68,4,*,4  * * *
ozon.ru,185.73.193.68,5,*,5  * * *
ozon.ru,185.73.194.82,1,*,1  * * *
ozon.ru,185.73.194.82,2,*,2  * * *
ozon.ru,185.73.194.82,3,*,3  * * *
ozon.ru,185.73.194.82,4,*,4  * * *
ozon.ru,185.73.194.82,5,*,5  * * *
wildberries.ru,185.62.202.2,1,*,1  * * *
wildberries.ru,185.62.202.2,2,*,2  * * *
wildberries.ru,185.62.202.2,3,*,3  * * *
wildberries.ru,185.62.202.2,4,*,4  * * *
wildberries.ru,185.62.202.2,5,*,5  * * *
